province,health_region,date_report,cases,cumulative_cases
Alberta,Calgary,2020-07-22,73,6127
Alberta,Calgary,2020-07-29,323,44148
Alberta,Calgary,2020-08-05,191,45758
Alberta,Calgary,2020-08-12,158,47086
Alberta,Calgary,2020-08-19,156,48198
Alberta,Calgary,2020-08-26,250,49565
Alberta,Calgary,2020-09-02,424,52007
Alberta,Calgary,2020-09-09,337,54517
Alberta,Calgary,2020-09-16,277,56661
Alberta,Calgary,2020-09-23,270,58614
Alberta,Calgary,2020-09-30,396,61022
Alberta,Calgary,2020-10-07,344,63491
Alberta,Calgary,2020-10-14,498,66271
Alberta,Calgary,2020-10-21,815,70802
Alberta,Calgary,2020-10-28,1201,78002
Alberta,Calgary,2020-11-04,1644,87618
Alberta,Calgary,2020-11-11,1810,100777
Alberta,Calgary,2020-11-18,2829,117551
Alberta,Calgary,2020-11-25,3006,138004
Alberta,Calgary,2020-12-02,3927,162369
Alberta,Calgary,2020-12-09,4511,193464
Alberta,Calgary,2020-12-16,3637,220683
Alberta,Calgary,2020-12-23,3344,246152
Alberta,Calgary,2020-12-30,2135,260615
Alberta,Calgary,2021-01-06,2484,276583
Alberta,Central,2020-07-22,18,266
Alberta,Central,2020-07-29,91,2175
Alberta,Central,2020-08-05,125,3172
Alberta,Central,2020-08-12,63,3699
Alberta,Central,2020-08-19,19,3870
Alberta,Central,2020-08-26,8,3977
Alberta,Central,2020-09-02,25,4077
Alberta,Central,2020-09-09,31,4307
Alberta,Central,2020-09-16,21,4465
Alberta,Central,2020-09-23,10,4573
Alberta,Central,2020-09-30,10,4651
Alberta,Central,2020-10-07,25,4758
Alberta,Central,2020-10-14,95,5147
Alberta,Central,2020-10-21,74,5828
Alberta,Central,2020-10-28,109,6434
Alberta,Central,2020-11-04,151,7305
Alberta,Central,2020-11-11,171,8531
Alberta,Central,2020-11-18,322,10367
Alberta,Central,2020-11-25,646,13920
Alberta,Central,2020-12-02,766,18911
Alberta,Central,2020-12-09,952,24983
Alberta,Central,2020-12-16,833,31383
Alberta,Central,2020-12-23,856,37237
Alberta,Central,2020-12-30,797,41732
Alberta,Central,2021-01-06,800,47341
Alberta,Edmonton,2020-07-22,25,1440
Alberta,Edmonton,2020-07-29,165,10607
Alberta,Edmonton,2020-08-05,197,11771
Alberta,Edmonton,2020-08-12,334,13626
Alberta,Edmonton,2020-08-19,364,16160
Alberta,Edmonton,2020-08-26,338,18815
Alberta,Edmonton,2020-09-02,372,21117
Alberta,Edmonton,2020-09-09,449,23881
Alberta,Edmonton,2020-09-16,486,27171
Alberta,Edmonton,2020-09-23,505,30767
Alberta,Edmonton,2020-09-30,538,34478
Alberta,Edmonton,2020-10-07,786,39059
Alberta,Edmonton,2020-10-14,1035,45718
Alberta,Edmonton,2020-10-21,1059,52732
Alberta,Edmonton,2020-10-28,1441,61792
Alberta,Edmonton,2020-11-04,1601,71384
Alberta,Edmonton,2020-11-11,1845,84605
Alberta,Edmonton,2020-11-18,2816,101921
Alberta,Edmonton,2020-11-25,4481,128109
Alberta,Edmonton,2020-12-02,4697,159733
Alberta,Edmonton,2020-12-09,5685,198518
Alberta,Edmonton,2020-12-16,5563,238163
Alberta,Edmonton,2020-12-23,4182,270909
Alberta,Edmonton,2020-12-30,2962,289918
Alberta,Edmonton,2021-01-06,2732,310409
Alberta,North,2020-07-22,7,461
Alberta,North,2020-07-29,72,3473
Alberta,North,2020-08-05,81,3997
Alberta,North,2020-08-12,66,4514
Alberta,North,2020-08-19,56,4966
Alberta,North,2020-08-26,102,5523
Alberta,North,2020-09-02,124,6312
Alberta,North,2020-09-09,168,7228
Alberta,North,2020-09-16,138,8460
Alberta,North,2020-09-23,91,9234
Alberta,North,2020-09-30,71,9761
Alberta,North,2020-10-07,60,10261
Alberta,North,2020-10-14,90,10753
Alberta,North,2020-10-21,132,11537
Alberta,North,2020-10-28,227,12812
Alberta,North,2020-11-04,252,14388
Alberta,North,2020-11-11,298,16480
Alberta,North,2020-11-18,439,19239
Alberta,North,2020-11-25,518,22377
Alberta,North,2020-12-02,599,26143
Alberta,North,2020-12-09,819,31444
Alberta,North,2020-12-16,775,37160
Alberta,North,2020-12-23,605,41744
Alberta,North,2020-12-30,605,45232
Alberta,North,2021-01-06,852,50140
Alberta,Not Reported,2020-07-22,2,24
Alberta,Not Reported,2020-07-29,0,168
Alberta,Not Reported,2020-08-05,0,168
Alberta,Not Reported,2020-08-12,2,172
Alberta,Not Reported,2020-08-19,3,196
Alberta,Not Reported,2020-08-26,1,209
Alberta,Not Reported,2020-09-02,2,212
Alberta,Not Reported,2020-09-09,4,236
Alberta,Not Reported,2020-09-16,0,252
Alberta,Not Reported,2020-09-23,2,264
Alberta,Not Reported,2020-09-30,0,266
Alberta,Not Reported,2020-10-07,5,278
Alberta,Not Reported,2020-10-14,9,339
Alberta,Not Reported,2020-10-21,2,368
Alberta,Not Reported,2020-10-28,14,418
Alberta,Not Reported,2020-11-04,6,488
Alberta,Not Reported,2020-11-11,28,641
Alberta,Not Reported,2020-11-18,39,870
Alberta,Not Reported,2020-11-25,30,1093
Alberta,Not Reported,2020-12-02,6,1233
Alberta,Not Reported,2020-12-09,0,1239
Alberta,Not Reported,2020-12-16,0,1239
Alberta,Not Reported,2020-12-23,0,1239
Alberta,Not Reported,2020-12-30,2,1241
Alberta,Not Reported,2021-01-06,42,1359
Alberta,South,2020-07-22,8,1543
Alberta,South,2020-07-29,87,11106
Alberta,South,2020-08-05,45,11584
Alberta,South,2020-08-12,32,11839
Alberta,South,2020-08-19,10,11988
Alberta,South,2020-08-26,10,12058
Alberta,South,2020-09-02,23,12169
Alberta,South,2020-09-09,22,12321
Alberta,South,2020-09-16,15,12458
Alberta,South,2020-09-23,26,12625
Alberta,South,2020-09-30,15,12761
Alberta,South,2020-10-07,72,12959
Alberta,South,2020-10-14,118,13625
Alberta,South,2020-10-21,121,14572
Alberta,South,2020-10-28,171,15607
Alberta,South,2020-11-04,228,16894
Alberta,South,2020-11-11,274,18893
Alberta,South,2020-11-18,374,21236
Alberta,South,2020-11-25,428,24164
Alberta,South,2020-12-02,373,26704
Alberta,South,2020-12-09,352,29339
Alberta,South,2020-12-16,301,31609
Alberta,South,2020-12-23,197,33340
Alberta,South,2020-12-30,146,34224
Alberta,South,2021-01-06,163,35294
BC,Fraser,2020-07-22,13,1744
BC,Fraser,2020-07-29,101,12512
BC,Fraser,2020-08-05,167,13417
BC,Fraser,2020-08-12,188,14734
BC,Fraser,2020-08-19,291,16445
BC,Fraser,2020-08-26,303,18530
BC,Fraser,2020-09-02,309,20636
BC,Fraser,2020-09-09,378,22818
BC,Fraser,2020-09-16,348,25699
BC,Fraser,2020-09-23,462,28663
BC,Fraser,2020-09-30,365,31385
BC,Fraser,2020-10-07,460,34199
BC,Fraser,2020-10-14,581,37461
BC,Fraser,2020-10-21,817,42578
BC,Fraser,2020-10-28,1344,50358
BC,Fraser,2020-11-04,1571,60379
BC,Fraser,2020-11-11,2150,75253
BC,Fraser,2020-11-18,3556,94754
BC,Fraser,2020-11-25,3029,115586
BC,Fraser,2020-12-02,3840,141586
BC,Fraser,2020-12-09,2928,164842
BC,Fraser,2020-12-16,3128,186042
BC,Fraser,2020-12-23,2480,205797
BC,Fraser,2020-12-30,1919,219041
BC,Fraser,2021-01-06,2288,235059
BC,Interior,2020-07-22,11,303
BC,Interior,2020-07-29,55,2335
BC,Interior,2020-08-05,28,2611
BC,Interior,2020-08-12,11,2748
BC,Interior,2020-08-19,15,2843
BC,Interior,2020-08-26,19,2962
BC,Interior,2020-09-02,19,3079
BC,Interior,2020-09-09,14,3201
BC,Interior,2020-09-16,26,3325
BC,Interior,2020-09-23,29,3544
BC,Interior,2020-09-30,17,3706
BC,Interior,2020-10-07,26,3837
BC,Interior,2020-10-14,26,3996
BC,Interior,2020-10-21,51,4256
BC,Interior,2020-10-28,97,4814
BC,Interior,2020-11-04,80,5381
BC,Interior,2020-11-11,119,6209
BC,Interior,2020-11-18,218,7363
BC,Interior,2020-11-25,285,8931
BC,Interior,2020-12-02,468,11649
BC,Interior,2020-12-09,525,15278
BC,Interior,2020-12-16,576,19131
BC,Interior,2020-12-23,443,22660
BC,Interior,2020-12-30,366,25190
BC,Interior,2021-01-06,494,28322
BC,Island,2020-07-22,1,141
BC,Island,2020-07-29,2,997
BC,Island,2020-08-05,3,1011
BC,Island,2020-08-12,4,1033
BC,Island,2020-08-19,8,1068
BC,Island,2020-08-26,12,1143
BC,Island,2020-09-02,8,1220
BC,Island,2020-09-09,8,1274
BC,Island,2020-09-16,10,1349
BC,Island,2020-09-23,8,1400
BC,Island,2020-09-30,5,1442
BC,Island,2020-10-07,14,1506
BC,Island,2020-10-14,15,1602
BC,Island,2020-10-21,7,1696
