,province,health_region,date_report,cases,cumulative_cases
0,Alberta,Calgary,25-01-2020,0,0
1,Alberta,Calgary,26-01-2020,0,0
2,Alberta,Calgary,27-01-2020,0,0
3,Alberta,Calgary,28-01-2020,0,0
4,Alberta,Calgary,29-01-2020,0,0
5,Alberta,Calgary,30-01-2020,0,0
6,Alberta,Calgary,31-01-2020,0,0
7,Alberta,Calgary,01-02-2020,0,0
8,Alberta,Calgary,02-02-2020,0,0
9,Alberta,Calgary,03-02-2020,0,0
10,Alberta,Calgary,04-02-2020,0,0
11,Alberta,Calgary,05-02-2020,0,0
12,Alberta,Calgary,06-02-2020,0,0
13,Alberta,Calgary,07-02-2020,0,0
14,Alberta,Calgary,08-02-2020,0,0
15,Alberta,Calgary,09-02-2020,0,0
16,Alberta,Calgary,10-02-2020,0,0
17,Alberta,Calgary,11-02-2020,0,0
18,Alberta,Calgary,12-02-2020,0,0
19,Alberta,Calgary,13-02-2020,0,0
20,Alberta,Calgary,14-02-2020,0,0
21,Alberta,Calgary,15-02-2020,0,0
22,Alberta,Calgary,16-02-2020,0,0
23,Alberta,Calgary,17-02-2020,0,0
24,Alberta,Calgary,18-02-2020,0,0
25,Alberta,Calgary,19-02-2020,0,0
26,Alberta,Calgary,20-02-2020,0,0
27,Alberta,Calgary,21-02-2020,0,0
28,Alberta,Calgary,22-02-2020,0,0
29,Alberta,Calgary,23-02-2020,0,0
30,Alberta,Calgary,24-02-2020,0,0
31,Alberta,Calgary,25-02-2020,0,0
32,Alberta,Calgary,26-02-2020,0,0
33,Alberta,Calgary,27-02-2020,0,0
34,Alberta,Calgary,28-02-2020,0,0
35,Alberta,Calgary,29-02-2020,0,0
36,Alberta,Calgary,01-03-2020,0,0
37,Alberta,Calgary,02-03-2020,0,0
38,Alberta,Calgary,03-03-2020,0,0
39,Alberta,Calgary,04-03-2020,0,0
40,Alberta,Calgary,05-03-2020,1,1
41,Alberta,Calgary,06-03-2020,0,1
42,Alberta,Calgary,07-03-2020,0,1
43,Alberta,Calgary,08-03-2020,1,2
44,Alberta,Calgary,09-03-2020,6,8
45,Alberta,Calgary,10-03-2020,0,8
46,Alberta,Calgary,11-03-2020,3,11
47,Alberta,Calgary,12-03-2020,4,15
48,Alberta,Calgary,13-03-2020,5,20
49,Alberta,Calgary,14-03-2020,6,26
50,Alberta,Calgary,15-03-2020,14,40
51,Alberta,Calgary,16-03-2020,12,52
52,Alberta,Calgary,17-03-2020,18,70
53,Alberta,Calgary,18-03-2020,13,83
54,Alberta,Calgary,19-03-2020,18,101
55,Alberta,Calgary,20-03-2020,25,126
56,Alberta,Calgary,21-03-2020,13,139
57,Alberta,Calgary,22-03-2020,25,164
58,Alberta,Calgary,23-03-2020,25,189
59,Alberta,Calgary,24-03-2020,27,216
60,Alberta,Calgary,25-03-2020,35,251
61,Alberta,Calgary,26-03-2020,49,300
62,Alberta,Calgary,27-03-2020,37,337
63,Alberta,Calgary,28-03-2020,42,379
64,Alberta,Calgary,29-03-2020,30,409
65,Alberta,Calgary,30-03-2020,14,423
66,Alberta,Calgary,31-03-2020,31,454
67,Alberta,Calgary,01-04-2020,76,530
68,Alberta,Calgary,02-04-2020,61,591
69,Alberta,Calgary,03-04-2020,84,675
70,Alberta,Calgary,04-04-2020,62,737
71,Alberta,Calgary,05-04-2020,38,775
72,Alberta,Calgary,06-04-2020,43,818
73,Alberta,Calgary,07-04-2020,17,835
74,Alberta,Calgary,08-04-2020,25,860
75,Alberta,Calgary,09-04-2020,18,878
76,Alberta,Calgary,10-04-2020,39,917
77,Alberta,Calgary,11-04-2020,59,976
78,Alberta,Calgary,12-04-2020,70,1046
79,Alberta,Calgary,13-04-2020,68,1114
80,Alberta,Calgary,14-04-2020,128,1242
81,Alberta,Calgary,15-04-2020,94,1336
82,Alberta,Calgary,16-04-2020,133,1469
83,Alberta,Calgary,17-04-2020,208,1677
84,Alberta,Calgary,18-04-2020,148,1825
85,Alberta,Calgary,19-04-2020,180,2005
86,Alberta,Calgary,20-04-2020,75,2080
87,Alberta,Calgary,21-04-2020,127,2207
88,Alberta,Calgary,22-04-2020,192,2399
89,Alberta,Calgary,23-04-2020,239,2638
90,Alberta,Calgary,24-04-2020,200,2838
91,Alberta,Calgary,25-04-2020,131,2969
92,Alberta,Calgary,26-04-2020,142,3111
93,Alberta,Calgary,27-04-2020,151,3262
94,Alberta,Calgary,28-04-2020,109,3371
95,Alberta,Calgary,29-04-2020,158,3529
96,Alberta,Calgary,30-04-2020,69,3598
97,Alberta,Calgary,01-05-2020,117,3715
98,Alberta,Calgary,02-05-2020,69,3784
99,Alberta,Calgary,03-05-2020,68,3852
100,Alberta,Calgary,04-05-2020,64,3916
101,Alberta,Calgary,05-05-2020,48,3964
102,Alberta,Calgary,06-05-2020,49,4013
103,Alberta,Calgary,07-05-2020,44,4057
104,Alberta,Calgary,08-05-2020,68,4125
105,Alberta,Calgary,09-05-2020,52,4177
106,Alberta,Calgary,10-05-2020,85,4262
107,Alberta,Calgary,11-05-2020,38,4300
108,Alberta,Calgary,12-05-2020,42,4342
109,Alberta,Calgary,13-05-2020,50,4392
