POPCTRRAuid,POPCTRRAname,POPCTRRAtype,POPCTRRApop_2016,POPCTRRAtdwell_2016,POPCTRRAurdwell_2016,POPCTRRApop_2011,POPCTRRApop_2011a,POPCTRRAtdwell_2011a,POPCTRRAurdwell_2011a,POPCTRRAarea,POPCTRRAadj_2011,POPCTRRAir_2011,POPCTRRAir_2016,POPCTRRclass,PRuid,XPRuid,CMAuid,Province,unique,health_reg,done
944,Toronto,1,5429524,2059207,1967380,5132794,5144412,1922765,1839727,1792.9944,1,0,0,4,35,,535,ON,ON,Toronto,x
547,Montréal,1,3519595,1580731,1493381,3407963,3387653,1517446,1441496,1293.9935,1,0,0,4,24,,462,QC,QC,Montréal,x
973,Vancouver,1,2264823,944471,883021,2135201,2124443,870720,817043,876.444,1,0,0,4,59,,933,BC,BC,Vancouver Coastal,x
115,Calgary,1,1237656,489271,466391,1095404,1094379,444741,422445,586.0752,1,0,0,4,48,,825,AB,AB,Calgary,x
252,Edmonton,1,1062643,436072,408474,960015,935361,394614,369787,572.6918,1,0,0,4,48,,835,AB,,Edmonton,x
616,Ottawa - Gatineau,1,989567,439953,412533,933596,945592,414102,394159,520.8184,1,0,0,4,35,24,505,ON,,Ottawa,x
1036,Winnipeg,1,711925,296630,283454,671551,670025,282779,271008,343.9927,1,0,0,4,46,,602,MB,MB,Winnipeg,x
685,Québec,1,705103,341184,324430,696946,681804,324556,312762,427.6588,1,0,0,4,24,,421,QC,,Capitale-Nationale,x
349,Hamilton,1,693645,286803,274649,670580,671008,276452,264922,351.6723,1,0,0,4,35,,537,ON,,Hamilton,x
419,Kitchener,1,470015,191637,181511,444681,446295,181027,170948,269.2268,1,0,0,4,35,,541,ON,,Waterloo,x
480,London,1,383437,175205,162861,366191,365715,167833,153351,232.4834,1,0,0,4,35,,555,ON,,Middlesex-London,x
984,Victoria,1,335696,158734,149903,316327,314596,154283,141639,215.8756,1,0,0,4,59,,935,BC,,Island,x
348,Halifax,1,316701,150284,139921,297943,304979,141833,132944,234.7185,1,0,0,4,12,,205,NS,NS,Zone 4 - Central,
614,Oshawa,1,308875,116268,113297,290937,290704,109677,106205,154.5694,1,0,0,4,35,,532,ON,,Durham,x
1032,Windsor,1,287069,123293,116706,276165,277970,120640,111353,176.2089,1,0,0,4,35,,559,ON,,Windsor-Essex,x
738,Saskatoon,1,245181,106637,98155,222035,220546,95518,90243,125.498,1,0,0,4,47,,725,SK,SK,Saskatoon,
788,St. Catharines - Niagara Falls,1,229246,101461,96037,309319,220616,97761,91475,136.2809,1,0,0,4,35,,539,ON,,Niagara,x
698,Regina,1,214631,92841,87168,192756,192079,82870,79317,103.1147,1,0,0,4,47,,705,SK,,Regina,
792,St. John's,1,178427,81394,74706,165346,172312,75053,69959,165.9972,1,0,0,4,10,,1,NL,NL,Zone 2 (Saint John area),
403,Kelowna,1,151957,67767,63946,141767,140131,64918,58967,136.4353,1,0,0,4,59,,915,BC,,Interior,x
