,Unnamed: 0,Entry ID,Jurisdiction,health_region,Date announced,Date implemented,Intervention category,Intervention type,Intervention summary,"Primary source
(news release or specific resource)",Secondary source,Level,"Indigenous 
population group",Industry,suggested_industry,suggested_hr
0,0,AB163,Alta.,Calgary,2020-07-21 00:00:00,2020-07-21 00:00:00,Policy,Openings - education,"Who: Government of Alberta
What: Released ""Re-entry Toolkit"" for K-12 students to return to daily learning, in person, at the beginning of the school year 
Effective until: ",https://www.alberta.ca/release.cfm?xID=7287083F2D4AD-A7B8-5DA0-30A4E2598D9C2A0B,https://open.alberta.ca/publications/2020-21-school-re-entry-plan,Provincial/territorial,No,,None,None
1,1,AB163,Alta.,Edmonton,2020-07-21 00:00:00,2020-07-21 00:00:00,Policy,Openings - education,"Who: Government of Alberta
What: Released ""Re-entry Toolkit"" for K-12 students to return to daily learning, in person, at the beginning of the school year 
Effective until: ",https://www.alberta.ca/release.cfm?xID=7287083F2D4AD-A7B8-5DA0-30A4E2598D9C2A0B,https://open.alberta.ca/publications/2020-21-school-re-entry-plan,Provincial/territorial,No,,None,None
2,2,AB163,Alta.,Central Zone,2020-07-21 00:00:00,2020-07-21 00:00:00,Policy,Openings - education,"Who: Government of Alberta
What: Released ""Re-entry Toolkit"" for K-12 students to return to daily learning, in person, at the beginning of the school year 
Effective until: ",https://www.alberta.ca/release.cfm?xID=7287083F2D4AD-A7B8-5DA0-30A4E2598D9C2A0B,https://open.alberta.ca/publications/2020-21-school-re-entry-plan,Provincial/territorial,No,,None,None
3,3,AB166,Alta.,Calgary,2020-08-04 00:00:00,2020-08-04 00:00:00,Policy,Openings - education,"Who: Government of Alberta
What: Updated plan and safety guidance for K-12 students to return to daily learning, in person, at the beginning of the school year 
Effective until: ",https://www.alberta.ca/release.cfm?xID=72968531BFC32-DFCE-5AC8-7E81A7C72D035E11,https://www.alberta.ca/release.cfm?xID=7295843B33620-E876-92BA-FCBA67A776AAE2FB,Provincial/territorial,No,,None,None
4,4,AB166,Alta.,Edmonton,2020-08-04 00:00:00,2020-08-04 00:00:00,Policy,Openings - education,"Who: Government of Alberta
What: Updated plan and safety guidance for K-12 students to return to daily learning, in person, at the beginning of the school year 
Effective until: ",https://www.alberta.ca/release.cfm?xID=72968531BFC32-DFCE-5AC8-7E81A7C72D035E11,https://www.alberta.ca/release.cfm?xID=7295843B33620-E876-92BA-FCBA67A776AAE2FB,Provincial/territorial,No,,None,None
5,5,AB166,Alta.,Central Zone,2020-08-04 00:00:00,2020-08-04 00:00:00,Policy,Openings - education,"Who: Government of Alberta
What: Updated plan and safety guidance for K-12 students to return to daily learning, in person, at the beginning of the school year 
Effective until: ",https://www.alberta.ca/release.cfm?xID=72968531BFC32-DFCE-5AC8-7E81A7C72D035E11,https://www.alberta.ca/release.cfm?xID=7295843B33620-E876-92BA-FCBA67A776AAE2FB,Provincial/territorial,No,,None,None
6,6,AB168,Alta.,Calgary,2020-08-07 00:00:00,2020-08-07 00:00:00,Support,Openings - education,"Who: Government of Alberta
What: Providing each of Alberta’s 5 First Nations colleges with $100,000 in 1-time funding for COVID-19 supports, for a total of $500,000. Part of the grant will assist with improved cleaning protocols to meet COVID-19 standards, address technology and Wi-Fi access, and support online programming development and delivery.
Effective until: ",https://www.alberta.ca/release.cfm?xID=72999DDE27CF5-B536-8ED6-597EF8574C08DE13,Not applicable,Provincial/territorial,Yes,,None,None
7,7,AB168,Alta.,Edmonton,2020-08-07 00:00:00,2020-08-07 00:00:00,Support,Openings - education,"Who: Government of Alberta
What: Providing each of Alberta’s 5 First Nations colleges with $100,000 in 1-time funding for COVID-19 supports, for a total of $500,000. Part of the grant will assist with improved cleaning protocols to meet COVID-19 standards, address technology and Wi-Fi access, and support online programming development and delivery.
Effective until: ",https://www.alberta.ca/release.cfm?xID=72999DDE27CF5-B536-8ED6-597EF8574C08DE13,Not applicable,Provincial/territorial,Yes,,None,None
8,8,AB168,Alta.,Central Zone,2020-08-07 00:00:00,2020-08-07 00:00:00,Support,Openings - education,"Who: Government of Alberta
What: Providing each of Alberta’s 5 First Nations colleges with $100,000 in 1-time funding for COVID-19 supports, for a total of $500,000. Part of the grant will assist with improved cleaning protocols to meet COVID-19 standards, address technology and Wi-Fi access, and support online programming development and delivery.
Effective until: ",https://www.alberta.ca/release.cfm?xID=72999DDE27CF5-B536-8ED6-597EF8574C08DE13,Not applicable,Provincial/territorial,Yes,,None,None
9,9,AB169,Alta.,Calgary,,2020-11-27 00:00:00,Closures,Closings - recreation,"What: Tradeshows, markets, sporting events, night clubs, indoor play centres, facilities (concert halls, auditoriums, community halls) closed and performances not permitted. ",https://www.alberta.ca/enhanced-public-health-measures.aspx,Not applicable,Regional,No,Nightlife; General merchandising stores,"Activities, Nightlife",None
10,10,AB169,Alta.,Calgary,,2020-11-30 00:00:00,Closures,Closings - education,What: Grades 7-12 students moved to at-home learning.,https://www.alberta.ca/enhanced-public-health-measures.aspx,Not applicable,Regional,No,,None,None
