,Entry ID,Jurisdiction,Health Region,Implemented,Category,Type,Summary,Source,Level,Source type,Expired
11,AB180,Alta.,Calgary,2020-09-10 00:00:00,Openings,Openings - recreation,"Who: Government of Alberta, Chief Medical Officer of Health
What: Permitted indoor hot tubs, dry saunas and steam saunas to open with cleaning and distancing restrictions
Effective until:",https://www.alberta.ca/release.cfm?xID=73203C5903015-971C-3208-AD6973D3D2071F51,Provincial/territorial,Government,
12,AB180,Alta.,Edmonton,2020-09-10 00:00:00,Openings,Openings - recreation,"Who: Government of Alberta, Chief Medical Officer of Health
What: Permitted indoor hot tubs, dry saunas and steam saunas to open with cleaning and distancing restrictions
Effective until:",https://www.alberta.ca/release.cfm?xID=73203C5903015-971C-3208-AD6973D3D2071F51,Provincial/territorial,Government,
13,AB180,Alta.,Central Zone,2020-09-10 00:00:00,Openings,Openings - recreation,"Who: Government of Alberta, Chief Medical Officer of Health
What: Permitted indoor hot tubs, dry saunas and steam saunas to open with cleaning and distancing restrictions
Effective until:",https://www.alberta.ca/release.cfm?xID=73203C5903015-971C-3208-AD6973D3D2071F51,Provincial/territorial,Government,
14,AB181,Alta.,Calgary,2020-09-11 00:00:00,Openings,Openings - recreation,"Who: Government of Alberta, Chief Medical Officer of Health
What: Updated guidelines to permit limited band practices, singing and wind instrument concerts with rigorous and proper precautions
Effective until:",https://www.alberta.ca/release.cfm?xID=73213F82F645E-F190-0856-E75D6CCD43FB449A,Provincial/territorial,Government,
15,AB181,Alta.,Edmonton,2020-09-11 00:00:00,Openings,Openings - recreation,"Who: Government of Alberta, Chief Medical Officer of Health
What: Updated guidelines to permit limited band practices, singing and wind instrument concerts with rigorous and proper precautions
Effective until:",https://www.alberta.ca/release.cfm?xID=73213F82F645E-F190-0856-E75D6CCD43FB449A,Provincial/territorial,Government,
16,AB181,Alta.,Central Zone,2020-09-11 00:00:00,Openings,Openings - recreation,"Who: Government of Alberta, Chief Medical Officer of Health
What: Updated guidelines to permit limited band practices, singing and wind instrument concerts with rigorous and proper precautions
Effective until:",https://www.alberta.ca/release.cfm?xID=73213F82F645E-F190-0856-E75D6CCD43FB449A,Provincial/territorial,CIHI,
17,AB200,Alta.,Calgary,2020-11-13 00:00:00,Restrictions,Restrictions - non-essential services,"Who: Government of Alberta
What: Mandated that all restaurants, bars, lounges and pubs in regions under enhanced status stop liquor sales by 10 p.m. and close by 11 p.m.
Effective until: 2020-11-27",https://www.alberta.ca/release.cfm?xID=7568972979AB6-C710-8665-95A628DF4EBB5F51,Provincial/territorial,CIHI,
18,AB200,Alta.,Central Zone,2020-11-13 00:00:00,Restrictions,Restrictions - non-essential services,"Who: Government of Alberta
What: Mandated that all restaurants, bars, lounges and pubs in regions under enhanced status stop liquor sales by 10 p.m. and close by 11 p.m.
Effective until: 2020-11-27",https://www.alberta.ca/release.cfm?xID=7568972979AB6-C710-8665-95A628DF4EBB5F51,Provincial/territorial,CIHI,
19,AB200,Alta.,Edmonton,2020-11-13 00:00:00,Restrictions,Restrictions - non-essential services,"Who: Government of Alberta
What: Mandated that all restaurants, bars, lounges and pubs in regions under enhanced status stop liquor sales by 10 p.m. and close by 11 p.m.
Effective until: 2020-11-27",https://www.alberta.ca/release.cfm?xID=7568972979AB6-C710-8665-95A628DF4EBB5F51,Provincial/territorial,CIHI,
20,AB169,Alta.,Calgary,2020-11-27 00:00:00,Closures,Closures - recreation,"What: Tradeshows, markets, sporting events, night clubs, indoor play centres, facilities (concert halls, auditoriums, community halls) closed and performances not permitted. ",https://www.alberta.ca/enhanced-public-health-measures.aspx,Regional,CIHI,
21,AB169,Alta.,Edmonton,2020-11-27 00:00:00,Closures,Closures - recreation,"What: Tradeshows, markets, sporting events, night clubs, indoor play centres, facilities (concert halls, auditoriums, community halls) closed and performances not permitted. ",https://www.alberta.ca/enhanced-public-health-measures.aspx,Regional,CIHI,
24,AB201,Alta.,Central Zone,2020-11-13 00:00:00,Closures,Closures - recreation,"Who: Government of Alberta
What: Prohibited indoor group fitness classes, team sport activities and group performance activities in Edmonton and surrounding areas, Calgary and surrounding areas, Grande Prairie, Fort McMurray, Red Deer and Lethbridge
Effective until: 2020-11-27",https://www.alberta.ca/release.cfm?xID=756927430390D-E7C5-440A-32D359C85E48294A,Regional,CIHI,
